#{"t_start": 1674316415.0256553, "env_id": "gripper-env-v0"}
r,l,t
9300.021815,5,3706.675226
-5603.912581,80,3712.357871
-40000.0,200,3725.291497
9494.639123,4,3726.624758
4009.914209,35,3729.708741
9015.338721,7,3731.293537
-2498.811789,65,3736.62499
8887.789964,9,3738.457916
5897.978059,22,3740.924734
7299.798809,15,3743.407669
8698.198986,8,3745.041556
9499.834312,4,3746.340638
-40000.0,200,3760.258529
9498.993003,4,3761.642984
-40000.0,200,3775.224585
6299.999007,20,3777.458095
9498.284298,4,3778.942668
5300.0,25,3781.575283
6013.132954,25,3784.408634
9698.046982,3,3785.640589
9697.004628,3,3787.024308
9489.890464,4,3788.442056
9297.222593,5,3789.824977
9498.724985,4,3791.108179
6789.208106,19,3793.44188
9297.267112,5,3795.362142
7496.920286,14,3797.607887
9497.468017,4,3798.924156
-40000.0,200,3813.325197
-7300.0001,91,3819.574401
9501.876031,4,3820.890596
9297.877786,5,3822.224896
8610.618344,9,3823.858418
9109.728231,7,3825.408083
8099.083921,11,3827.191265
-40000.0,200,3841.724534
-40000.0,200,3855.908905
-40000.0,200,3869.241134
-40000.0,200,3886.143242
-17399.999722,139,3896.991043
-13799.206486,121,3904.241637
-1990.862957,62,3908.925153
9098.32826,6,3910.491039
9097.157155,6,3911.890936
9698.312151,3,3913.207563
4100.000184,31,3917.725781
9099.351964,6,3919.191398
9099.813228,6,3920.657537
-2101.030725,62,3926.07518
8998.219786,7,3927.590528
8899.452427,7,3929.158381
-6802.012133,87,3935.907728
3498.58007,34,3939.058018
-40000.0,200,3954.157794
9499.133508,4,3955.407677
-29103.820281,198,3967.424386
3697.847948,33,3970.357503
10000.0,1,3971.606864
9299.959191,5,3972.990676
9290.728755,5,3974.290907
6900.070381,17,3976.458507
8497.93115,9,3978.074811
9499.896437,4,3979.441105
9498.392557,4,3980.843171
9298.146493,5,3982.241721
8900.002582,7,3983.841641
-39170.889262,200,3996.757781
5211.891473,27,3999.524739
3612.909119,34,4002.708177
-24501.102665,174,4016.560067
9303.123228,5,4017.940537
9298.379697,5,4019.341144
5511.321841,25,4022.124751
8685.603605,9,4023.808567
1800.047042,44,4028.225323
9498.059306,4,4029.607771
7802.741364,13,4031.375201
9497.980802,4,4032.777109
9496.389009,4,4034.073858
9411.750867,5,4035.557505
8907.849421,8,4037.124677
1890.703741,42,4040.891627
9299.600205,5,4042.290891
9006.351923,7,4043.87509
7812.148792,13,4045.891735
7600.78528,14,4047.74123
8898.091639,7,4049.224094
8201.444642,12,4051.175478
4500.278721,30,4053.95738
5612.235173,27,4057.107969
6720.053014,21,4059.974744
9399.382077,5,4061.391226
8196.972449,13,4063.458189
9499.1266,4,4064.757311
6497.583283,19,4067.04135
6496.780501,19,4069.508779
9203.135961,6,4070.973567
-498.101415,61,4075.708153
9010.144181,7,4077.157909
9210.084896,6,4078.624416
5697.882391,23,4081.541309
8496.45164,9,4083.093129
9211.288236,6,4084.424103
9297.814626,5,4085.908732
9308.848879,6,4087.525153
7899.999021,12,4089.291476
7612.883919,14,4091.27528
1115.96526,47,4095.457281
9211.903257,6,4096.857549
